Channel1_mean,Channel1_std,Channel1_min,Channel1_max,Channel1_ptp,Channel1_delta_psd,Channel1_theta_psd,Channel1_alpha_psd,Channel1_beta_psd,Channel1_gamma_psd,Channel2_mean,Channel2_std,Channel2_min,Channel2_max,Channel2_ptp,Channel2_delta_psd,Channel2_theta_psd,Channel2_alpha_psd,Channel2_beta_psd,Channel2_gamma_psd,Channel3_mean,Channel3_std,Channel3_min,Channel3_max,Channel3_ptp,Channel3_delta_psd,Channel3_theta_psd,Channel3_alpha_psd,Channel3_beta_psd,Channel3_gamma_psd,Class
-1.360734352014532379e-06,1.703513585271137278e-05,-2.086088767901069548e-04,2.319242335965341964e-06,2.109281191260722985e-04,1.146016032565778018e-09,1.146050019907152568e-09,1.718911025293640978e-09,5.721470020432824922e-09,2.349928836483133113e-08,-5.194567923982355351e-07,6.562082769788075107e-06,-8.013238337674140224e-05,1.597455212101840791e-06,8.172983858884323943e-05,1.754347197302453059e-10,1.755310917527139396e-10,2.634448879095537465e-10,8.708360731795639175e-10,3.592828130875965692e-09,-4.807037234154831924e-03,3.475256082869460778e-03,-1.670576279667616154e-02,3.123553345568182409e-03,1.982931614224434438e-02,4.407519586451110019e-05,6.664660778654664874e-05,3.598649731889100827e-05,2.355270998633497367e-04,7.791058854116355995e-04,6.000000000000000000e+00
9.116182296059589409e-07,5.567423215726445063e-05,-2.382030351794445450e-04,3.932062684209490446e-04,6.314093036003936166e-04,1.558832353974345350e-08,3.970073368598140662e-09,1.181190657369933929e-08,8.230149214348036834e-08,2.351610671791064158e-07,1.133632477789770985e-06,3.573706691747925522e-05,-1.981390552486924565e-04,1.475931391800768141e-04,3.457321944287692706e-04,4.142178396917904117e-09,1.058306692544238094e-08,6.736837268622000759e-09,1.766952285291173168e-08,1.135979092923369939e-07,-1.947846492424048625e-03,3.815005784247559040e-03,-1.322381748759005396e-02,7.409856982417531261e-03,2.063367447000758609e-02,1.669086552177657538e-05,1.219891834804594504e-04,2.235427687928499601e-04,2.488087357964859081e-04,1.393755415326650669e-03,2.000000000000000000e+00
-2.050993129736486723e-07,2.024824589983244970e-06,-1.311782520570492608e-05,1.162315549603593905e-05,2.474098070174086513e-05,2.557869623869726427e-11,1.189568224742617193e-11,8.986384797764518412e-12,5.751846836052338048e-11,3.391731336935010354e-10,2.268719015454866833e-07,4.150734243786524028e-06,-1.693798583976357676e-05,2.215371297756693538e-05,3.909169881733050875e-05,3.527008238557499164e-11,4.678698227723637117e-11,2.140471996119379990e-11,5.178615114660651537e-10,1.458249431064189105e-09,1.477799835427649712e-03,1.329024103501559367e-03,-2.181867633864285373e-03,6.435360950002162218e-03,8.617228583866447592e-03,4.085133837729545132e-06,5.539155657864008995e-06,3.704663478049209383e-06,3.450557010750267224e-05,1.546831562610271715e-04,3.000000000000000000e+00
-1.183192165470410349e-06,8.047958003473392399e-06,-6.622068832996758157e-05,1.895707367746032033e-05,8.517776200742790190e-05,8.717658679611914749e-10,9.326090908008016447e-10,8.535396085531999502e-10,1.104401998711208608e-09,2.204687660936754005e-09,-1.427208491822512467e-06,1.004751276551478552e-05,-6.959058116522656874e-05,3.874342431527129886e-05,1.083340054804978608e-04,8.592670158520645949e-10,1.626251696661441164e-10,6.250995812809642791e-10,5.852352726896419294e-10,1.106176433824254432e-08,-1.830166320548135819e-03,2.388749803186296459e-03,-1.040803603877017182e-02,4.261120895530921306e-03,1.466915693430109399e-02,1.915381295860587430e-05,2.023331579547669036e-05,2.175899706521372187e-05,7.757907854171115000e-05,3.002325040503379212e-04,8.000000000000000000e+00
1.960039235877820540e-03,8.709166464889721293e-03,-7.937689593359950613e-02,1.565775462491462988e-02,9.503465055851413601e-02,6.199526365000468994e-04,5.297883664473452365e-04,1.172286938973982095e-04,2.809231783015325029e-03,5.814575307503150325e-03,4.686022709631281120e-04,2.631933340531396846e-03,-1.199476725482741778e-02,8.048612722332332964e-03,2.004337997715974901e-02,2.583143837538264258e-05,4.002658973116802582e-05,2.342729524666951776e-05,1.431399586201414370e-04,6.223716738436018293e-04,-4.408817025638285536e-03,3.470348623492886930e-03,-1.712181810329923073e-02,3.498157156293430891e-03,2.061997525959266206e-02,3.144470484446748598e-05,1.111744745499710182e-05,6.859908085628507171e-05,1.572771472627376948e-04,9.678530372190796705e-04,7.000000000000000000e+00
-1.881369546169853676e-07,2.949337596247953607e-05,-1.677431820994857012e-04,1.421926607990412958e-04,3.099358428985270241e-04,2.600805341473581869e-11,3.448721422834789603e-11,8.298040622464886028e-11,6.275990798899748666e-10,2.170170210455649533e-08,-8.431480496067827915e-06,1.499881516445333439e-04,-1.432499891210572626e-03,3.292474421403103263e-04,1.761747333350883061e-03,4.286842642746524917e-08,4.230912138818405668e-08,6.252430996743655697e-08,2.063959319976687624e-07,1.275549875851147919e-06,-3.913558963630647640e-03,8.339594163344210206e-03,-2.440945772879908951e-02,3.848401466094066026e-02,6.289347238973974630e-02,1.158677639662153425e-03,1.735285421530490240e-03,2.373624407171291001e-03,2.937495737422989896e-03,1.933067974942430291e-03,5.000000000000000000e+00
-1.226711267666311580e-07,1.669105033665946386e-06,-1.783476128648175621e-05,5.141823686241114067e-06,2.297658497272287112e-05,1.245237942987211882e-11,1.255717020577369444e-11,1.921418689201213732e-11,7.072571224001659163e-11,2.857682115825857033e-10,-1.533765305446731812e-07,1.346838661626741193e-06,-1.235163508104977857e-05,1.868715326006576052e-06,1.422035040705635525e-05,1.822934147253652042e-11,1.787776367909054995e-11,2.556794757405185446e-11,6.562466784142282860e-11,1.118905766203465146e-10,-1.876200505930022012e-03,6.786743098272850173e-04,-3.542755599932168476e-03,-3.379589034369504864e-04,3.204796696495218044e-03,1.583933607501244483e-06,3.662024261857569683e-06,1.713036801378304748e-06,9.072830579963305845e-06,2.700704694641985283e-05,8.000000000000000000e+00
7.453433503388885697e-08,9.107780738492120501e-07,-3.016404848658862296e-06,7.539244255103111737e-06,1.055564910376197488e-05,1.737484759210311899e-12,1.881353761967538838e-12,3.294712698813293642e-12,1.460202706608941461e-11,7.958309866579321894e-11,-3.299550966518635427e-08,1.219493361415683840e-06,-1.231293416348709290e-05,5.682770590671773651e-06,1.799570475415886655e-05,1.853304859004130530e-12,2.192774604932326517e-12,4.279528854846724025e-12,1.956659450293473211e-11,1.315189858771766277e-10,1.440973188928156663e-03,1.056052777172500866e-03,-1.643695262278246569e-03,4.114808032685593996e-03,5.758503294963840564e-03,8.670334373265000912e-06,4.306481966059590665e-06,7.127097898871865961e-06,1.851744156800844826e-05,8.518313186292319637e-05,4.000000000000000000e+00
1.400476575317783331e-07,1.056888288519392629e-06,-3.548764038731551868e-06,7.567797289254518580e-06,1.111656132798606960e-05,8.341433089852101901e-12,7.869072062756553310e-12,1.015712918415250941e-11,1.343188843753825139e-11,1.033709139289447961e-10,-5.268633864855307152e-08,1.100508018973922674e-06,-1.226825189872607550e-05,2.356471779613350982e-06,1.462472367833942606e-05,3.278028206442428032e-12,3.283529577958776585e-12,4.894789160594137406e-12,1.380654207105980133e-11,1.159794566339273939e-10,1.450526373132021750e-03,1.016255464514277933e-03,-1.527102884767133706e-03,3.657827682521108421e-03,5.184930567288242344e-03,9.093502466813979708e-06,3.700904003942799573e-06,4.672374806787340655e-06,2.013456478499838550e-05,8.134153720622991867e-05,4.000000000000000000e+00
2.630983247144957716e-07,3.680375929494319727e-06,-1.469986998896350722e-05,2.451203976995526836e-05,3.921190975891877389e-05,3.626125881632111585e-11,4.060850843860437145e-11,7.381979665544803833e-11,3.053411983980060515e-10,9.247867160076402123e-10,-2.997631347658614808e-07,2.854227737802358159e-06,-2.663783057556017147e-05,7.026972710778397147e-06,3.366480328633857116e-05,6.156841569047893167e-11,6.046431123077825116e-11,8.765334753704321505e-11,2.876255210451368281e-10,5.852251481481652847e-10,-1.963013901848650010e-03,9.030615352298131939e-04,-4.285227786379994935e-03,7.035960941034892328e-04,4.988823880483484602e-03,5.674921875423246610e-06,2.406702088761654701e-06,1.778345366133573719e-06,1.730739421317985279e-05,7.662916125246862717e-05,9.000000000000000000e+00
